order_id,customer_name,city,state,product_name,category,quantity,price,total_price,payment_method,order_status,order_date
33,Vidur Roy,Akola,Himachal Pradesh,Product_74,Sports,3,3074.82,9224.46,Cash,Delivered,2025-05-25
34,Arhaan Raman,Delhi,Nagaland,Product_12,Electronics,5,397.11,1985.55,Cash,Shipped,2025-11-18
35,Samiha Kadakia,Nanded,Goa,Product_27,Fashion,5,2030.13,10150.65,Cash,Delivered,2025-10-05
36,Purab Kumer,Salem,Assam,Product_22,Fashion,4,3100.55,12402.2,UPI,Delivered,2026-03-03
37,Kanav Garg,Satna,Himachal Pradesh,Product_69,Books,5,2208.05,11040.25,Credit Card,Cancelled,2026-04-18
38,Amira Dara,Korba,Kerala,Product_41,Fashion,5,3524.82,17624.1,Cash,Pending,2025-06-03
39,Drishya Kashyap,Rajpur Sonarpur,West Bengal,Product_36,Home,3,3833.78,11501.34,UPI,Pending,2025-06-29
40,Rohan Srinivas,Khammam,Manipur,Product_12,Sports,5,1439.62,7198.1,UPI,Cancelled,2026-03-21
41,Vaibhav Gill,Ahmednagar,Andhra Pradesh,Product_80,Fashion,5,3918.16,19590.8,Cash,Delivered,2025-05-30
42,Ahana  Dalal,Nangloi Jat,Chhattisgarh,Product_83,Electronics,4,3692.93,14771.72,Cash,Shipped,2026-04-17
43,Madhup Bhagat,Kirari Suleman Nagar,Goa,Product_99,Books,4,2335.75,9343.0,Net Banking,Cancelled,2025-11-17
44,Ishaan Sangha,Nashik,West Bengal,Product_55,Books,2,513.81,1027.62,UPI,Shipped,2025-11-08
45,Yashvi Taneja,Ujjain,Andhra Pradesh,Product_30,Sports,5,3719.93,18599.65,Net Banking,Shipped,2025-11-14
46,Kaira Brahmbhatt,Jaunpur,Maharashtra,Product_5,Sports,1,1198.16,1198.16,Net Banking,Delivered,2025-12-14
47,Shlok Sur,Medininagar,Goa,Product_19,Electronics,1,2411.42,2411.42,UPI,Delivered,2026-02-07
48,Adira Solanki,Hyderabad,West Bengal,Product_12,Fashion,1,695.2,695.2,Net Banking,Shipped,2025-08-17
49,Aarush Gala,Madanapalle,Jharkhand,Product_17,Home,4,1124.07,4496.28,UPI,Delivered,2025-07-05
50,Aradhya Raj,Sasaram,Madhya Pradesh,Product_61,Sports,5,3470.63,17353.15,UPI,Shipped,2026-04-27
51,Jayant Mahal,Indore,Maharashtra,Product_22,Electronics,3,1525.08,4575.24,Net Banking,Cancelled,2025-12-04
52,Rasha Setty,Mehsana,Goa,Product_80,Electronics,1,3567.7,3567.7,Credit Card,Delivered,2025-09-16
53,Ryan Shetty,Mangalore,Karnataka,Product_37,Home,1,1574.82,1574.82,Credit Card,Cancelled,2026-04-12
54,Stuvan Gill,Nellore,Jharkhand,Product_95,Electronics,1,706.88,706.88,UPI,Shipped,2025-07-23
55,Badal Raval,Ahmednagar,West Bengal,Product_37,Electronics,5,1490.4,7452.0,Credit Card,Cancelled,2026-01-20
56,Adira Tailor,Bhavnagar,Nagaland,Product_39,Electronics,1,678.12,678.12,Credit Card,Cancelled,2026-01-20
57,Romil Deo,Sambhal,Bihar,Product_97,Books,1,964.56,964.56,UPI,Cancelled,2025-08-24
58,Taimur Comar,Satara,Telangana,Product_85,Home,3,4487.33,13461.99,Cash,Cancelled,2026-05-08
59,Nirvaan Babu,Sambalpur,Manipur,Product_32,Home,1,2193.85,2193.85,Net Banking,Pending,2026-01-11
60,Amira Sinha,Bijapur,Karnataka,Product_15,Home,3,1598.09,4794.27,Net Banking,Delivered,2026-03-20
61,Mannat Rau,Pune,Andhra Pradesh,Product_33,Home,2,698.25,1396.5,UPI,Pending,2026-05-02
62,Mishti Kota,Nangloi Jat,Uttarakhand,Product_81,Books,2,2787.84,5575.68,Credit Card,Pending,2026-05-05
63,Keya Upadhyay,Unnao,Telangana,Product_46,Electronics,1,2987.88,2987.88,UPI,Pending,2025-12-02
64,Riaan De,Jamshedpur,Goa,Product_62,Sports,2,2949.11,5898.22,Credit Card,Cancelled,2026-03-21
65,Piya Vig,Kishanganj,Chhattisgarh,Product_94,Books,4,2361.32,9445.28,Cash,Shipped,2025-10-08
66,Onkar Sura,Alappuzha,Nagaland,Product_14,Sports,4,1570.67,6282.68,Cash,Shipped,2026-05-15
67,Rasha Grover,Siwan,Manipur,Product_96,Sports,3,2730.31,8190.93,Net Banking,Pending,2025-11-29
68,Madhav Bawa,Kottayam,Uttar Pradesh,Product_41,Books,5,467.3,2336.5,Credit Card,Cancelled,2025-06-17
69,Vaibhav Anne,Kota,Andhra Pradesh,Product_84,Fashion,5,4481.91,22409.55,Credit Card,Pending,2026-05-10
70,Saksham Saraf,Jammu,Odisha,Product_68,Fashion,1,1792.25,1792.25,Credit Card,Cancelled,2026-03-08
71,Shlok Thakkar,Kottayam,Manipur,Product_100,Home,2,640.88,1281.76,Net Banking,Shipped,2025-06-25
72,Jivin Kale,Coimbatore,Mizoram,Product_89,Sports,3,3641.17,10923.51,Net Banking,Delivered,2026-04-29
73,Gokul Cheema,Noida,Nagaland,Product_90,Home,3,2143.65,6430.95,UPI,Cancelled,2025-12-16
74,Lakshay Raj,Jodhpur,Manipur,Product_46,Sports,1,2597.64,2597.64,Cash,Shipped,2025-08-03
75,Romil Hayer,Saharanpur,Chhattisgarh,Product_59,Books,4,1149.49,4597.96,Net Banking,Cancelled,2025-05-22
76,Bhavin Chaudhari,Srinagar,Goa,Product_31,Sports,1,736.04,736.04,Net Banking,Pending,2026-01-09
77,Kiara Virk,Raiganj,Karnataka,Product_76,Books,5,3606.16,18030.8,Net Banking,Pending,2025-06-02
78,Gatik Yohannan,Bidar,Rajasthan,Product_58,Sports,4,2673.73,10694.92,Cash,Delivered,2025-11-30
79,Advika Dash,Rajahmundry,Haryana,Product_53,Books,3,4309.09,12927.27,Credit Card,Delivered,2026-02-22
80,Mehul Madan,Udupi,Odisha,Product_92,Electronics,4,3590.79,14363.16,UPI,Pending,2025-07-02
81,Nishith Chaudry,Bhubaneswar,Himachal Pradesh,Product_49,Electronics,5,4578.45,22892.25,UPI,Delivered,2025-09-14
82,Tara Mangal,Solapur,Rajasthan,Product_42,Fashion,2,4381.87,8763.74,Cash,Shipped,2025-09-11
83,Jhanvi Krishnan,Kalyan-Dombivli,Sikkim,Product_98,Fashion,5,2136.83,10684.15,UPI,Cancelled,2025-08-25
84,Nirvi Warrior,Ambarnath,Odisha,Product_34,Books,2,4458.86,8917.72,Credit Card,Delivered,2025-11-27
85,Jivin Kara,Vijayanagaram,Uttarakhand,Product_58,Fashion,3,1937.83,5813.49,UPI,Pending,2025-06-02
86,Renee Rajagopalan,Chittoor,Karnataka,Product_93,Sports,1,100.05,100.05,Cash,Delivered,2025-07-15
87,Jivika Banerjee,Rajahmundry,Meghalaya,Product_85,Home,1,4240.87,4240.87,Net Banking,Pending,2025-06-03
88,Saksham Shanker,Kurnool,Maharashtra,Product_80,Sports,4,889.47,3557.88,UPI,Pending,2025-10-03
89,Ojas Keer,Shahjahanpur,West Bengal,Product_28,Electronics,3,3253.39,9760.17,UPI,Shipped,2025-05-22
90,Anahi Sodhi,Meerut,Arunachal Pradesh,Product_23,Books,3,1705.05,5115.15,Cash,Pending,2025-12-28
91,Lavanya Wagle,Bhimavaram,Gujarat,Product_93,Electronics,4,550.41,2201.64,Net Banking,Shipped,2026-02-25
92,Lavanya Kapur,Raichur,Karnataka,Product_55,Electronics,4,395.97,1583.88,Cash,Cancelled,2026-04-01
93,Ivan Dugar,Patna,Haryana,Product_73,Sports,1,3584.9,3584.9,UPI,Cancelled,2025-11-04
94,Suhana Bala,Faridabad,Meghalaya,Product_95,Books,4,4944.95,19779.8,Credit Card,Shipped,2026-03-15
95,Zaina Rajagopalan,Rampur,Chhattisgarh,Product_9,Books,1,3345.78,3345.78,Credit Card,Cancelled,2025-12-25
96,Suhana Devi,Medininagar,Kerala,Product_24,Electronics,4,449.86,1799.44,Net Banking,Shipped,2026-03-11
97,Tushar Dayal,Ludhiana,Nagaland,Product_82,Home,2,720.27,1440.54,UPI,Cancelled,2025-06-28
98,Aarna Srivastava,Anand,Jharkhand,Product_85,Home,3,4907.28,14721.84,Net Banking,Pending,2025-09-08
99,Tiya Kuruvilla,Unnao,West Bengal,Product_51,Home,4,3700.59,14802.36,UPI,Shipped,2025-10-03
100,Aarav Bawa,North Dumdum,Meghalaya,Product_67,Books,3,4030.46,12091.38,Credit Card,Delivered,2026-01-26
101,Gokul Behl,Raebareli,Himachal Pradesh,Product_35,Electronics,3,1659.68,4979.04,Net Banking,Delivered,2026-03-29
102,Anahi Bhavsar,Hospet,Telangana,Product_9,Fashion,2,1652.68,3305.36,Cash,Shipped,2025-10-15
103,Anya Bath,Etawah,Gujarat,Product_48,Home,4,2061.72,8246.88,UPI,Cancelled,2025-10-23
104,Hansh Bhat,Serampore,Odisha,Product_27,Fashion,3,2203.72,6611.16,Credit Card,Delivered,2025-12-28
105,Saira Ravel,South Dumdum,Bihar,Product_95,Electronics,1,3758.8,3758.8,Net Banking,Cancelled,2025-10-17
106,Darshit Buch,Tadepalligudem,Assam,Product_64,Home,4,1383.72,5534.88,UPI,Shipped,2025-11-25
107,Bhavin Jhaveri,Karaikudi,Rajasthan,Product_43,Electronics,3,2048.47,6145.41,Credit Card,Delivered,2025-08-24
108,Indrajit Borra,Secunderabad,Rajasthan,Product_12,Home,4,2809.1,11236.4,Credit Card,Pending,2025-10-16
109,Anay Gola,Farrukhabad,Sikkim,Product_25,Home,2,2905.19,5810.38,Net Banking,Delivered,2025-08-12
110,Riya Mandal,Vellore,Rajasthan,Product_16,Books,1,824.8,824.8,UPI,Pending,2026-02-23
111,Jiya Khare,Haldia,Arunachal Pradesh,Product_74,Sports,4,4645.25,18581.0,Net Banking,Pending,2026-04-17
112,Rhea Devan,Haridwar,Sikkim,Product_70,Fashion,2,4302.66,8605.32,Net Banking,Cancelled,2025-08-11
113,Manjari Gara,Gulbarga,Maharashtra,Product_70,Electronics,1,3794.39,3794.39,Net Banking,Cancelled,2025-06-08
114,Sumer Swaminathan,Anand,Haryana,Product_33,Books,5,1165.44,5827.2,Credit Card,Shipped,2025-11-18
115,Aniruddh Magar,Aizawl,Tamil Nadu,Product_37,Books,3,2359.28,7077.84,UPI,Shipped,2026-03-19
116,Aayush Sabharwal,Chinsurah,Andhra Pradesh,Product_1,Books,2,2622.96,5245.92,Cash,Shipped,2025-08-10
117,Samarth Bhasin,Mango,Gujarat,Product_86,Home,1,2376.89,2376.89,Credit Card,Delivered,2026-04-18
118,Dhruv Sundaram,Kollam,Meghalaya,Product_81,Books,5,2471.65,12358.25,Net Banking,Delivered,2026-05-09
119,Myra Chatterjee,Ahmednagar,Tripura,Product_67,Electronics,1,3186.82,3186.82,Cash,Shipped,2026-03-09
120,Zoya Chana,Nandyal,Bihar,Product_74,Books,3,1273.9,3821.7,Net Banking,Delivered,2025-11-12
121,Vidur Raju,Kishanganj,Meghalaya,Product_95,Home,1,570.85,570.85,Cash,Pending,2026-02-15
122,Manjari Das,Nagaon,West Bengal,Product_6,Fashion,3,2754.75,8264.25,Cash,Cancelled,2026-04-13
123,Seher Bava,Ranchi,Odisha,Product_83,Fashion,1,2946.5,2946.5,Cash,Cancelled,2025-08-18
124,Aradhya Sachar,Morbi,Haryana,Product_31,Electronics,5,2504.07,12520.35,UPI,Delivered,2025-07-09
125,Hunar Bobal,Madanapalle,Rajasthan,Product_81,Books,2,2832.97,5665.94,Cash,Shipped,2025-07-20
126,Biju Savant,Pallavaram,Bihar,Product_27,Fashion,1,3136.05,3136.05,UPI,Pending,2025-10-27
127,Fateh Datta,Pali,Assam,Product_100,Books,1,1979.09,1979.09,Net Banking,Shipped,2025-09-08
128,Saksham Chhabra,Nagercoil,Sikkim,Product_76,Fashion,2,3666.64,7333.28,UPI,Cancelled,2025-08-26
129,Riya Bobal,Pallavaram,Goa,Product_51,Fashion,1,2842.82,2842.82,Credit Card,Cancelled,2025-09-22
130,Darshit Brar,Secunderabad,Gujarat,Product_56,Books,3,4304.39,12913.17,Net Banking,Pending,2026-02-11
131,Shray Taneja,Kalyan-Dombivli,Kerala,Product_47,Books,5,1452.59,7262.95,Net Banking,Pending,2025-11-14
132,Alisha Sachar,Ramagundam,Andhra Pradesh,Product_80,Electronics,3,4305.06,12915.18,Cash,Cancelled,2026-04-23
133,Ahana  Sarin,Miryalaguda,Tamil Nadu,Product_24,Sports,3,3238.51,9715.53,UPI,Delivered,2025-06-09
134,Ira Mammen,Bettiah,Himachal Pradesh,Product_82,Sports,5,1602.4,8012.0,Cash,Cancelled,2025-06-21
135,Navya Boase,Dhule,Maharashtra,Product_61,Electronics,5,3972.56,19862.8,Credit Card,Pending,2026-04-22
136,Dishani Bhat,Munger,Haryana,Product_31,Books,2,1740.17,3480.34,UPI,Delivered,2026-01-25
137,Khushi Subramanian,Amravati,Haryana,Product_22,Electronics,1,2559.91,2559.91,Cash,Delivered,2026-03-16
138,Neelofar Bhatti,Sambhal,Chhattisgarh,Product_4,Home,5,3651.35,18256.75,Credit Card,Cancelled,2025-06-27
139,Aarush Chanda,Kharagpur,Uttarakhand,Product_65,Sports,2,1988.92,3977.84,UPI,Pending,2025-07-20
140,Mamooty Chaudhry,Khora ,West Bengal,Product_63,Home,4,3104.63,12418.52,Cash,Pending,2025-11-05
141,Tejas Buch,Rajkot,Karnataka,Product_81,Home,5,1875.48,9377.4,Cash,Shipped,2026-04-10
142,Indrans Bava,Erode,Jharkhand,Product_29,Sports,1,1624.19,1624.19,Cash,Cancelled,2026-02-15
143,Lagan Mangal,Indore,Odisha,Product_15,Sports,5,1027.1,5135.5,Net Banking,Delivered,2026-03-19
144,Anvi Sami,Tinsukia,Meghalaya,Product_68,Sports,2,4496.62,8993.24,Net Banking,Delivered,2025-12-04
145,Yakshit Sekhon,Silchar,Jharkhand,Product_73,Home,2,1198.51,2397.02,UPI,Pending,2026-05-17
146,Vedika Kulkarni,Thanjavur,Andhra Pradesh,Product_29,Electronics,3,3138.05,9414.15,UPI,Delivered,2026-02-26
147,Drishya Dhillon,Kakinada,West Bengal,Product_82,Electronics,5,3927.3,19636.5,Net Banking,Cancelled,2025-10-03
148,Rohan Sibal,Madanapalle,Andhra Pradesh,Product_56,Books,1,4966.53,4966.53,Cash,Pending,2025-10-27
149,Diya Banerjee,South Dumdum,Madhya Pradesh,Product_66,Home,3,2532.28,7596.84,Cash,Cancelled,2026-02-02
150,Advik Chandran,Bhimavaram,Chhattisgarh,Product_88,Fashion,3,4509.0,13527.0,UPI,Cancelled,2025-08-31
151,Kiaan Ganesan,Bardhaman,Andhra Pradesh,Product_75,Electronics,3,3372.22,10116.66,UPI,Pending,2025-12-30
152,Keya Gera,Pudukkottai,Jharkhand,Product_94,Books,1,4822.48,4822.48,Cash,Delivered,2025-08-09
153,Abram Kibe,Sikar,West Bengal,Product_22,Fashion,1,1009.55,1009.55,Credit Card,Pending,2025-08-22
154,Yakshit Jha,Berhampore,Goa,Product_92,Sports,1,4017.13,4017.13,Credit Card,Delivered,2025-07-22
155,Mehul Deol,Bikaner,Gujarat,Product_63,Fashion,5,4658.01,23290.05,UPI,Cancelled,2025-12-07
156,Arhaan Bobal,Vadodara,Punjab,Product_32,Electronics,1,1760.19,1760.19,UPI,Cancelled,2025-12-05
157,Akarsh Chhabra,Chittoor,Tamil Nadu,Product_84,Home,4,885.63,3542.52,Cash,Cancelled,2026-04-23
158,Madhav Bhatnagar,Kirari Suleman Nagar,Rajasthan,Product_6,Fashion,2,1040.79,2081.58,Cash,Shipped,2026-02-07
159,Indrajit Lala,Kurnool,Sikkim,Product_1,Books,4,626.06,2504.24,Credit Card,Shipped,2025-11-07
160,Purab Saraf,Arrah,West Bengal,Product_66,Fashion,3,4201.74,12605.22,Net Banking,Pending,2026-01-06
161,Mishti Char,Hosur,Telangana,Product_93,Electronics,3,3001.2,9003.6,Credit Card,Cancelled,2026-02-10
162,Chirag Samra,Madurai,Jharkhand,Product_57,Fashion,2,232.58,465.16,UPI,Shipped,2026-05-18
163,Kavya Lalla,Chinsurah,Bihar,Product_22,Home,5,3474.75,17373.75,UPI,Pending,2025-08-06
164,Parinaaz Som,Ongole,Kerala,Product_93,Electronics,2,4109.45,8218.9,Net Banking,Delivered,2026-01-15
165,Tanya Grover,Bhilwara,Odisha,Product_16,Fashion,3,2309.59,6928.77,Net Banking,Cancelled,2026-01-27
166,Kashvi Rau,Hajipur,Meghalaya,Product_36,Fashion,5,2429.14,12145.7,Net Banking,Shipped,2026-03-07
167,Zara Krishnamurthy,Bhalswa Jahangir Pur,Punjab,Product_77,Electronics,5,896.5,4482.5,Net Banking,Pending,2025-12-03
168,Parinaaz Krish,Bhiwani,Karnataka,Product_40,Fashion,2,439.85,879.7,Cash,Shipped,2025-10-05
169,Kiara Varma,Secunderabad,Kerala,Product_77,Sports,1,1930.27,1930.27,Credit Card,Shipped,2026-04-28
170,Prerak Basu,Bhilai,Himachal Pradesh,Product_75,Sports,5,3799.19,18995.95,Credit Card,Shipped,2025-06-25
171,Urvi De,Anantapuram,Karnataka,Product_69,Books,1,1446.88,1446.88,UPI,Shipped,2025-07-27
172,Onkar Verma,Phagwara,Bihar,Product_22,Fashion,1,216.25,216.25,Cash,Pending,2026-03-01
173,Darshit Madan,Mysore,Telangana,Product_64,Books,1,4819.45,4819.45,Cash,Shipped,2025-12-08
174,Aradhya Lall,Malegaon,West Bengal,Product_29,Books,1,979.34,979.34,UPI,Cancelled,2025-08-04
175,Nishith Sridhar,Amritsar,Goa,Product_38,Sports,1,2505.77,2505.77,Net Banking,Shipped,2026-05-11
176,Hiran Badami,Ramagundam,Uttarakhand,Product_49,Books,2,2872.12,5744.24,UPI,Shipped,2025-07-10
177,Rhea Bala,Patiala,Andhra Pradesh,Product_85,Fashion,5,1371.85,6859.25,Cash,Pending,2026-05-16
178,Shaan Kakar,Shimla,Meghalaya,Product_35,Books,3,3715.17,11145.51,Credit Card,Pending,2026-02-15
179,Aarna Gour,Vellore,Chhattisgarh,Product_33,Electronics,3,618.87,1856.61,Cash,Pending,2026-05-05
180,Eshani Kadakia,Nellore,Tripura,Product_83,Home,5,4833.16,24165.8,Net Banking,Delivered,2025-11-12
181,Khushi Kamdar,Kalyan-Dombivli,Sikkim,Product_16,Books,2,1941.42,3882.84,UPI,Delivered,2025-09-20
182,Aarav Sastry,Tenali,Sikkim,Product_91,Sports,3,2967.04,8901.12,Cash,Delivered,2025-11-01
183,Damini Khosla,Alwar,Chhattisgarh,Product_7,Fashion,2,3483.99,6967.98,Credit Card,Pending,2026-04-01
184,Vedika Som,Sambhal,Mizoram,Product_48,Sports,3,1582.36,4747.08,Cash,Shipped,2025-10-19
185,Bhavin Comar,Sultan Pur Majra,Meghalaya,Product_32,Books,4,4572.21,18288.84,Cash,Shipped,2025-07-02
186,Renee Srinivasan,Anantapur,Assam,Product_17,Books,4,4076.8,16307.2,UPI,Delivered,2026-03-27
187,Anya Salvi,Jalna,Mizoram,Product_99,Home,3,4828.49,14485.47,UPI,Pending,2026-03-19
188,Tara Kari,Tadepalligudem,Assam,Product_63,Books,3,3745.87,11237.61,Credit Card,Delivered,2026-04-03
189,Khushi Ravi,Warangal,Telangana,Product_81,Fashion,2,4782.07,9564.14,UPI,Pending,2025-07-15
190,Sahil Bal,Shahjahanpur,Madhya Pradesh,Product_5,Electronics,2,4303.08,8606.16,Credit Card,Pending,2025-07-27
191,Elakshi Chander,Kadapa,Punjab,Product_29,Home,5,880.84,4404.2,UPI,Pending,2025-07-10
192,Kaira Andra,Muzaffarnagar,Nagaland,Product_5,Electronics,3,2189.36,6568.08,Cash,Shipped,2025-06-13
193,Samaira Dara,Phagwara,Odisha,Product_20,Books,3,4532.81,13598.43,Cash,Pending,2025-07-08
194,Kiaan Deol,Phagwara,Odisha,Product_99,Electronics,4,4661.51,18646.04,Credit Card,Cancelled,2025-08-02
195,Dhanuk Kalita,South Dumdum,Chhattisgarh,Product_67,Books,1,2576.87,2576.87,Net Banking,Shipped,2025-08-19
196,Amira Bhatia,Sultan Pur Majra,Assam,Product_76,Home,3,579.12,1737.36,UPI,Shipped,2025-10-13
197,Jiya Saxena,Bijapur,Madhya Pradesh,Product_39,Sports,5,3305.52,16527.6,Credit Card,Pending,2025-11-30
198,Vihaan Ahuja,Rajkot,Karnataka,Product_4,Sports,3,3911.22,11733.66,Net Banking,Cancelled,2026-05-11
199,Samaira Kalla,Amravati,Chhattisgarh,Product_97,Books,1,4982.63,4982.63,UPI,Shipped,2025-07-01
200,Biju Comar,Pondicherry,Arunachal Pradesh,Product_60,Home,1,184.0,184.0,Net Banking,Delivered,2026-04-02
201,Diya Sawhney,Raebareli,Mizoram,Product_66,Sports,5,1978.44,9892.2,Credit Card,Delivered,2025-09-04
202,Tiya Wason,Karimnagar,Gujarat,Product_88,Home,1,2520.08,2520.08,Net Banking,Pending,2025-08-12
203,Anaya Samra,Karnal,Chhattisgarh,Product_80,Fashion,5,4647.59,23237.95,Net Banking,Shipped,2025-06-22
204,Jivika Batra,Amroha,Haryana,Product_22,Electronics,1,841.96,841.96,Credit Card,Shipped,2025-12-17
205,Vivaan Bhargava,Guwahati,Tamil Nadu,Product_84,Books,3,2228.66,6685.98,Net Banking,Delivered,2025-08-07
206,Alia Mani,Akola,Madhya Pradesh,Product_77,Fashion,1,942.1,942.1,Net Banking,Shipped,2026-02-24
207,Anaya Chopra,Bongaigaon,Telangana,Product_41,Electronics,3,3178.04,9534.12,Net Banking,Cancelled,2025-06-02
208,Miraya Savant,Salem,Tamil Nadu,Product_81,Books,3,4815.84,14447.52,UPI,Shipped,2025-10-13
209,Vardaniya Sodhi,Vijayawada,Haryana,Product_31,Fashion,1,2776.17,2776.17,Net Banking,Shipped,2025-08-17
210,Chirag Handa,Vellore,Uttar Pradesh,Product_95,Fashion,4,4355.35,17421.4,Cash,Pending,2026-02-01
211,Saira Sarraf,Jodhpur,Tripura,Product_34,Home,5,3194.94,15974.7,Net Banking,Pending,2025-11-26
212,Uthkarsh Acharya,Udupi,Andhra Pradesh,Product_68,Books,1,2785.28,2785.28,Credit Card,Pending,2025-08-13
213,Aayush Konda,Ajmer,Meghalaya,Product_83,Home,2,4330.92,8661.84,UPI,Cancelled,2025-11-03
214,Aaina Walia,Jalgaon,Goa,Product_73,Books,3,2278.95,6836.85,Cash,Pending,2026-05-03
215,Manikya Deep,Suryapet,Madhya Pradesh,Product_71,Books,4,2142.74,8570.96,Credit Card,Delivered,2025-07-13
216,Bhavin Lal,Aurangabad,Uttarakhand,Product_91,Fashion,5,442.68,2213.4,Credit Card,Delivered,2025-05-22
217,Uthkarsh Bir,Firozabad,Assam,Product_9,Electronics,4,2088.98,8355.92,UPI,Shipped,2026-01-10
218,Zain Johal,Motihari,Meghalaya,Product_51,Electronics,1,2466.23,2466.23,UPI,Cancelled,2025-05-26
219,Ivana Jha,Tadipatri,Nagaland,Product_10,Sports,4,4484.47,17937.88,UPI,Delivered,2025-09-16
220,Rasha Kala,Rohtak,Himachal Pradesh,Product_71,Fashion,3,2678.25,8034.75,Cash,Cancelled,2025-11-27
221,Yasmin Venkatesh,Bhopal,Tamil Nadu,Product_4,Fashion,1,2052.63,2052.63,Net Banking,Delivered,2025-07-09
222,Tara Sunder,Ambala,Sikkim,Product_85,Sports,5,2793.35,13966.75,UPI,Cancelled,2025-06-15
223,Anahita Gupta,Bulandshahr,Rajasthan,Product_43,Electronics,5,1424.59,7122.95,Net Banking,Pending,2026-01-16
224,Jhanvi Chowdhury,Tenali,Rajasthan,Product_50,Books,3,4566.67,13700.01,Net Banking,Pending,2025-11-04
225,Kiara Ganesh,Raichur,Telangana,Product_38,Books,3,726.35,2179.05,Cash,Pending,2025-08-09
226,Madhav Rout,Durg,Uttarakhand,Product_41,Electronics,5,1939.95,9699.75,Cash,Pending,2026-02-21
